assay_type,run_name,upload_time,first_job,processing_finished,jira_resolved,jira_status,upload_to_first_job,processing_time,processing_end_to_release,upload_to_release
CEN,230623_A01295_0195_AHFCFVDRX3,2023-06-24 13:47:45,2023-06-24 13:50:51,2023-06-26 14:37:14,2023-06-26 18:26:06,All samples released,0.002,2.032,0.159,2.193
CEN,230616_A01303_0213_BHF7YMDRX3,2023-06-17 11:41:23,2023-06-17 11:44:17,2023-06-19 13:10:49,2023-06-19 14:29:21,All samples released,0.002,2.06,0.055,2.117
CEN,230621_A01303_0216_BHFKL7DRX3,2023-06-22 16:04:11,2023-06-22 16:08:57,2023-06-23 14:17:55,2023-06-23 16:40:47,All samples released,0.003,0.923,0.099,1.025
MYE,230629_A01295_0196_AHHGGLDRX3,2023-06-30 15:28:17,2023-06-30 15:29:42,2023-06-30 18:27:47,2023-07-04 10:29:22,All samples released,0.001,0.124,3.668,3.792
MYE,230622_A01295_0194_BHF52FDRX3,2023-06-23 20:15:32,2023-06-23 20:20:37,2023-06-23 23:26:39,2023-06-26 14:16:06,All samples released,0.004,0.129,2.618,2.75
MYE,230622_A01303_0217_BHF52LDRX3,2023-06-23 16:42:27,2023-06-23 16:45:28,2023-06-23 19:40:14,2023-06-26 14:16:28,All samples released,0.002,0.121,2.775,2.899
MYE,230619_A01303_0214_BHF7MHDRX3,2023-06-20 14:03:23,2023-06-20 14:06:46,2023-06-22 10:52:07,2023-06-22 13:16:11,All samples released,0.002,1.865,0.1,1.967
TSO500,230703_A01303_0221_BHFCH3DRX3,2023-07-04 08:39:36,2023-07-04 08:42:50,2023-07-05 08:42:04,2023-07-05 12:51:03,All samples released,0.002,0.999,0.173,1.175
TSO500,230629_A01303_0220_AHF52MDRX3,2023-06-30 08:42:20,2023-06-30 08:43:33,2023-07-01 18:40:16,2023-07-03 12:36:09,All samples released,0.001,1.414,1.747,3.162
TSO500,230626_A01303_0218_BHFCGVDRX3,2023-06-27 09:01:11,2023-06-27 09:03:51,2023-06-28 07:33:53,2023-06-29 18:27:14,All samples released,0.002,0.938,1.454,2.393
TSO500,230622_A01295_0193_AHF7V5DRX3,2023-06-23 09:41:25,2023-06-23 09:42:47,2023-06-26 08:50:43,2023-06-26 18:41:25,All samples released,0.001,2.964,0.41,3.375
TSO500,230619_A01295_0191_BHFC2FDRX3,2023-06-20 09:15:12,2023-06-20 09:16:19,2023-06-23 13:33:12,2023-06-27 10:07:39,All samples released,0.001,3.178,3.857,7.036
TSO500,230619_A01295_0192_AHF7HVDRX3,2023-06-20 09:10:30,2023-06-20 09:11:40,2023-06-22 09:15:14,2023-06-22 12:37:42,All samples released,0.001,2.002,0.141,2.144
TSO500,230629_A01303_0219_BHF52JDRX3,2023-06-30 08:40:55,2023-06-30 08:42:13,2023-07-04 10:57:15,2023-07-04 12:20:56,All samples released,0.001,4.094,0.058,4.153
SNP,230623_M03595_0032_000000000_KYW4N,2023-06-26 15:00:48,2023-06-26 15:57:57,2023-06-26 18:20:53,2023-07-03 15:09:25,All samples released,0.04,0.099,6.867,7.006
SNP,230629_M03595_0033_000000000-KYW4G,2023-06-30 16:39:38,2023-07-03 15:01:12,2023-07-04 11:03:01,2023-07-07 09:32:36,All samples released,2.932,0.835,2.937,6.703
